B16004_001E,B16004_001EA,B16004_001M,B16004_001MA,B16004_002E,B16004_002EA,B16004_002M,B16004_002MA,B16004_003E,B16004_003EA,B16004_003M,B16004_003MA,B16004_004E,B16004_004EA,B16004_004M,B16004_004MA,B16004_005E,B16004_005EA,B16004_005M,B16004_005MA,B16004_006E,B16004_006EA,B16004_006M,B16004_006MA,B16004_007E,B16004_007EA,B16004_007M,B16004_007MA,B16004_008E,B16004_008EA,B16004_008M,B16004_008MA,B16004_009E,B16004_009EA,B16004_009M,B16004_009MA,B16004_010E,B16004_010EA,B16004_010M,B16004_010MA,B16004_011E,B16004_011EA,B16004_011M,B16004_011MA,B16004_012E,B16004_012EA,B16004_012M,B16004_012MA,B16004_013E,B16004_013EA,B16004_013M,B16004_013MA,B16004_014E,B16004_014EA,B16004_014M,B16004_014MA,B16004_015E,B16004_015EA,B16004_015M,B16004_015MA,B16004_016E,B16004_016EA,B16004_016M,B16004_016MA,B16004_017E,B16004_017EA,B16004_017M,B16004_017MA,B16004_018E,B16004_018EA,B16004_018M,B16004_018MA,B16004_019E,B16004_019EA,B16004_019M,B16004_019MA,B16004_020E,B16004_020EA,B16004_020M,B16004_020MA,B16004_021E,B16004_021EA,B16004_021M,B16004_021MA,B16004_022E,B16004_022EA,B16004_022M,B16004_022MA,B16004_023E,B16004_023EA,B16004_023M,B16004_023MA,B16004_024E,B16004_024EA,B16004_024M,B16004_024MA,B16004_025E,B16004_025EA,B16004_025M,B16004_025MA,B16004_026E,B16004_026EA,B16004_026M,B16004_026MA,B16004_027E,B16004_027EA,B16004_027M,B16004_027MA,B16004_028E,B16004_028EA,B16004_028M,B16004_028MA,B16004_029E,B16004_029EA,B16004_029M,B16004_029MA,B16004_030E,B16004_030EA,B16004_030M,B16004_030MA,B16004_031E,B16004_031EA,B16004_031M,B16004_031MA,B16004_032E,B16004_032EA,B16004_032M,B16004_032MA,B16004_033E,B16004_033EA,B16004_033M,B16004_033MA,B16004_034E,B16004_034EA,B16004_034M,B16004_034MA,B16004_035E,B16004_035EA,B16004_035M,B16004_035MA,B16004_036E,B16004_036EA,B16004_036M,B16004_036MA,B16004_037E,B16004_037EA,B16004_037M,B16004_037MA,B16004_038E,B16004_038EA,B16004_038M,B16004_038MA,B16004_039E,B16004_039EA,B16004_039M,B16004_039MA,B16004_040E,B16004_040EA,B16004_040M,B16004_040MA,B16004_041E,B16004_041EA,B16004_041M,B16004_041MA,B16004_042E,B16004_042EA,B16004_042M,B16004_042MA,B16004_043E,B16004_043EA,B16004_043M,B16004_043MA,B16004_044E,B16004_044EA,B16004_044M,B16004_044MA,B16004_045E,B16004_045EA,B16004_045M,B16004_045MA,B16004_046E,B16004_046EA,B16004_046M,B16004_046MA,B16004_047E,B16004_047EA,B16004_047M,B16004_047MA,B16004_048E,B16004_048EA,B16004_048M,B16004_048MA,B16004_049E,B16004_049EA,B16004_049M,B16004_049MA,B16004_050E,B16004_050EA,B16004_050M,B16004_050MA,B16004_051E,B16004_051EA,B16004_051M,B16004_051MA,B16004_052E,B16004_052EA,B16004_052M,B16004_052MA,B16004_053E,B16004_053EA,B16004_053M,B16004_053MA,B16004_054E,B16004_054EA,B16004_054M,B16004_054MA,B16004_055E,B16004_055EA,B16004_055M,B16004_055MA,B16004_056E,B16004_056EA,B16004_056M,B16004_056MA,B16004_057E,B16004_057EA,B16004_057M,B16004_057MA,B16004_058E,B16004_058EA,B16004_058M,B16004_058MA,B16004_059E,B16004_059EA,B16004_059M,B16004_059MA,B16004_060E,B16004_060EA,B16004_060M,B16004_060MA,B16004_061E,B16004_061EA,B16004_061M,B16004_061MA,B16004_062E,B16004_062EA,B16004_062M,B16004_062MA,B16004_063E,B16004_063EA,B16004_063M,B16004_063MA,B16004_064E,B16004_064EA,B16004_064M,B16004_064MA,B16004_065E,B16004_065EA,B16004_065M,B16004_065MA,B16004_066E,B16004_066EA,B16004_066M,B16004_066MA,B16004_067E,B16004_067EA,B16004_067M,B16004_067MA,GEO_ID,NAME,state,county,tract,block group
470,,139,,15,,25,,0,,13,,15,,25,,15,,25,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,455,,140,,246,,135,,60,,66,,47,,55,,13,,22,,0,,13,,0,,13,,81,,81,,35,,40,,46,,72,,0,,13,,0,,13,,27,,44,,27,,44,,0,,13,,0,,13,,0,,13,,41,,68,,41,,68,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510131035012,"Block Group 2, Census Tract 1035.01, Arlington County, Virginia",51,13,103501,2
3095,,932,,776,,459,,690,,449,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,44,,59,,44,,59,,0,,13,,0,,13,,0,,13,,21,,37,,21,,37,,0,,13,,0,,13,,0,,13,,21,,30,,21,,30,,0,,13,,0,,13,,0,,13,,1717,,391,,1395,,324,,31,,67,,31,,67,,0,,13,,0,,13,,0,,13,,104,,136,,90,,121,,14,,34,,0,,13,,0,,13,,115,,110,,69,,63,,23,,38,,23,,33,,0,,13,,72,,106,,44,,65,,0,,13,,28,,42,,0,,13,,602,,229,,466,,230,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,136,,108,,0,,13,,50,,51,,46,,75,,40,,50,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594408001,"Block Group 1, Census Tract 4408, Fairfax County, Virginia",51,59,440800,1
1098,,463,,288,,208,,288,,208,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,531,,244,,392,,166,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,139,,163,,65,,74,,74,,95,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,279,,152,,226,,134,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,12,,20,,12,,20,,0,,13,,0,,13,,0,,13,,41,,71,,41,,71,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594408002,"Block Group 2, Census Tract 4408, Fairfax County, Virginia",51,59,440800,2
478,,225,,41,,43,,41,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,387,,214,,260,,120,,113,,181,,113,,181,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,14,,21,,14,,21,,0,,13,,0,,13,,0,,13,,50,,42,,50,,42,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594501001,"Block Group 1, Census Tract 4501, Fairfax County, Virginia",51,59,450100,1
3398,,1070,,891,,603,,278,,243,,497,,559,,497,,559,,0,,18,,0,,18,,0,,18,,58,,72,,46,,70,,12,,20,,0,,18,,0,,18,,58,,54,,45,,56,,13,,20,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,2296,,644,,836,,476,,952,,469,,405,,311,,232,,158,,209,,155,,106,,141,,273,,164,,134,,115,,92,,90,,47,,74,,0,,18,,235,,124,,182,,103,,53,,37,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,211,,112,,166,,98,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,45,,63,,0,,18,,45,,63,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,0,,18,,510594501002,"Block Group 2, Census Tract 4501, Fairfax County, Virginia",51,59,450100,2
465,,238,,31,,68,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,31,,68,,21,,46,,10,,22,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,326,,173,,194,,124,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,17,,27,,17,,27,,0,,13,,0,,13,,0,,13,,101,,92,,0,,13,,14,,31,,72,,79,,15,,33,,14,,23,,14,,23,,0,,13,,0,,13,,0,,13,,108,,78,,108,,78,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594501003,"Block Group 3, Census Tract 4501, Fairfax County, Virginia",51,59,450100,3
1017,,296,,94,,81,,52,,52,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,42,,73,,42,,73,,0,,13,,0,,13,,0,,13,,795,,232,,603,,262,,78,,96,,78,,96,,0,,13,,0,,13,,0,,13,,18,,29,,18,,29,,0,,13,,0,,13,,0,,13,,69,,85,,12,,20,,0,,13,,28,,41,,29,,42,,27,,46,,0,,13,,0,,13,,27,,46,,0,,13,,128,,82,,112,,78,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,27,,16,,27,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594501004,"Block Group 4, Census Tract 4501, Fairfax County, Virginia",51,59,450100,4
2550,,689,,520,,232,,110,,61,,350,,215,,195,,151,,129,,147,,26,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,60,,91,,60,,91,,0,,13,,0,,13,,0,,13,,1876,,543,,573,,260,,1051,,500,,244,,146,,210,,120,,529,,316,,68,,79,,59,,58,,48,,47,,11,,18,,0,,13,,0,,13,,105,,95,,50,,48,,34,,38,,21,,23,,0,,13,,88,,97,,0,,13,,88,,97,,0,,13,,0,,13,,154,,95,,82,,75,,9,,14,,0,,13,,0,,13,,9,,14,,0,,13,,19,,31,,19,,31,,0,,13,,0,,13,,0,,13,,44,,50,,0,,13,,0,,13,,31,,30,,13,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594502001,"Block Group 1, Census Tract 4502, Fairfax County, Virginia",51,59,450200,1
1713,,382,,196,,123,,119,,102,,53,,79,,53,,79,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,24,,30,,24,,30,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1190,,327,,855,,268,,251,,153,,150,,109,,32,,35,,54,,50,,15,,23,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,84,,92,,36,,34,,41,,52,,0,,13,,7,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,327,,113,,178,,81,,71,,61,,0,,13,,41,,60,,30,,25,,0,,13,,22,,33,,22,,33,,0,,13,,0,,13,,0,,13,,56,,59,,23,,22,,0,,13,,0,,13,,33,,49,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594502002,"Block Group 2, Census Tract 4502, Fairfax County, Virginia",51,59,450200,2
1097,,437,,145,,118,,131,,117,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,10,,16,,10,,16,,0,,13,,0,,13,,0,,13,,4,,11,,0,,13,,0,,13,,4,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,912,,391,,627,,212,,216,,220,,165,,195,,14,,22,,37,,60,,0,,13,,18,,29,,18,,29,,0,,13,,0,,13,,0,,13,,51,,60,,7,,24,,24,,28,,20,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,40,,34,,30,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,10,,18,,0,,13,,0,,13,,10,,18,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594503001,"Block Group 1, Census Tract 4503, Fairfax County, Virginia",51,59,450300,1
739,,404,,86,,75,,18,,29,,68,,70,,68,,70,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,590,,376,,220,,132,,358,,356,,158,,206,,72,,113,,128,,130,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,12,,19,,12,,19,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,63,,52,,46,,44,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,17,,29,,9,,15,,0,,13,,8,,14,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594503002,"Block Group 2, Census Tract 4503, Fairfax County, Virginia",51,59,450300,2
2211,,466,,138,,74,,73,,68,,55,,66,,55,,66,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,10,,16,,0,,13,,0,,13,,10,,16,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1798,,363,,963,,267,,443,,282,,247,,187,,95,,111,,65,,69,,36,,54,,79,,73,,42,,46,,0,,13,,37,,58,,0,,13,,313,,179,,85,,63,,135,,71,,93,,62,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,275,,143,,134,,85,,71,,80,,0,,13,,0,,13,,70,,80,,1,,3,,9,,14,,0,,13,,9,,14,,0,,13,,0,,13,,46,,53,,0,,13,,0,,13,,46,,53,,0,,13,,15,,24,,0,,13,,0,,13,,15,,24,,0,,13,,510594503003,"Block Group 3, Census Tract 4503, Fairfax County, Virginia",51,59,450300,3
824,,385,,148,,161,,9,,17,,41,,67,,0,,13,,41,,67,,0,,13,,0,,13,,47,,69,,47,,69,,0,,13,,0,,13,,0,,13,,11,,19,,11,,19,,0,,13,,0,,13,,0,,13,,40,,70,,0,,13,,0,,13,,40,,70,,0,,13,,462,,220,,137,,77,,114,,101,,10,,16,,45,,75,,28,,41,,31,,46,,64,,70,,8,,15,,56,,66,,0,,13,,0,,13,,90,,124,,28,,37,,24,,29,,38,,61,,0,,13,,57,,97,,0,,13,,38,,66,,19,,31,,0,,13,,214,,190,,103,,117,,102,,152,,0,,13,,102,,152,,0,,13,,0,,13,,7,,14,,7,,14,,0,,13,,0,,13,,0,,13,,2,,6,,0,,13,,0,,13,,2,,6,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594503004,"Block Group 4, Census Tract 4503, Fairfax County, Virginia",51,59,450300,4
963,,199,,176,,88,,87,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,89,,85,,89,,85,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,620,,144,,334,,81,,18,,26,,18,,26,,0,,13,,0,,13,,0,,13,,20,,24,,14,,21,,6,,9,,0,,13,,0,,13,,248,,139,,83,,54,,39,,32,,93,,84,,33,,47,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,167,,53,,96,,42,,20,,25,,7,,15,,0,,13,,13,,21,,0,,13,,17,,19,,17,,19,,0,,13,,0,,13,,0,,13,,34,,37,,0,,13,,0,,13,,33,,37,,1,,3,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594504001,"Block Group 1, Census Tract 4504, Fairfax County, Virginia",51,59,450400,1
1564,,225,,267,,74,,163,,70,,93,,47,,93,,47,,0,,13,,0,,13,,0,,13,,11,,18,,11,,18,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1016,,202,,644,,108,,256,,150,,188,,156,,14,,23,,54,,37,,0,,13,,90,,72,,51,,45,,20,,27,,19,,28,,0,,13,,26,,26,,17,,17,,9,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,281,,53,,253,,52,,6,,9,,0,,13,,6,,9,,0,,13,,0,,13,,8,,11,,8,,11,,0,,13,,0,,13,,0,,13,,14,,13,,6,,9,,8,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594504002,"Block Group 2, Census Tract 4504, Fairfax County, Virginia",51,59,450400,2
919,,218,,145,,91,,95,,86,,39,,40,,10,,15,,0,,13,,29,,39,,0,,13,,5,,8,,5,,8,,0,,13,,0,,13,,0,,13,,6,,9,,0,,13,,6,,9,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,648,,162,,272,,83,,278,,130,,153,,86,,75,,42,,27,,36,,23,,28,,26,,22,,21,,17,,5,,8,,0,,13,,0,,13,,72,,51,,36,,41,,15,,15,,15,,14,,6,,9,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,126,,65,,43,,28,,22,,22,,7,,11,,15,,24,,0,,13,,0,,13,,15,,24,,0,,13,,8,,12,,0,,13,,7,,12,,46,,52,,33,,50,,12,,13,,0,,13,,1,,3,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594505001,"Block Group 1, Census Tract 4505, Fairfax County, Virginia",51,59,450500,1
1943,,439,,232,,124,,38,,26,,164,,133,,106,,89,,27,,34,,0,,13,,31,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,30,,20,,17,,15,,13,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1239,,310,,514,,169,,361,,184,,169,,107,,94,,77,,98,,74,,0,,13,,100,,109,,50,,54,,18,,28,,24,,28,,8,,11,,246,,112,,150,,108,,47,,26,,45,,34,,4,,7,,18,,23,,18,,23,,0,,13,,0,,13,,0,,13,,472,,176,,293,,119,,92,,129,,0,,13,,64,,90,,28,,39,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,75,,43,,9,,11,,5,,10,,14,,23,,47,,36,,12,,18,,12,,18,,0,,13,,0,,13,,0,,13,,510594505002,"Block Group 2, Census Tract 4505, Fairfax County, Virginia",51,59,450500,2
1138,,348,,101,,68,,65,,58,,36,,37,,36,,37,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,886,,307,,460,,143,,394,,294,,139,,107,,213,,149,,42,,66,,0,,13,,1,,2,,1,,2,,0,,13,,0,,13,,0,,13,,31,,35,,25,,34,,6,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,151,,65,,150,,65,,1,,2,,1,,2,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594506012,"Block Group 2, Census Tract 4506.01, Fairfax County, Virginia",51,59,450601,2
1005,,314,,142,,99,,54,,61,,23,,39,,23,,39,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,65,,72,,53,,57,,12,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,678,,236,,236,,107,,128,,177,,74,,147,,38,,53,,16,,33,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,314,,157,,252,,141,,0,,13,,62,,57,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,185,,67,,131,,60,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,17,,25,,17,,25,,0,,13,,0,,13,,0,,13,,37,,38,,0,,13,,36,,38,,1,,3,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594506013,"Block Group 3, Census Tract 4506.01, Fairfax County, Virginia",51,59,450601,3
1189,,393,,140,,115,,0,,13,,48,,53,,11,,16,,37,,45,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,63,,90,,21,,30,,42,,60,,0,,13,,0,,13,,29,,46,,29,,46,,0,,13,,0,,13,,0,,13,,946,,339,,501,,121,,63,,85,,63,,85,,0,,13,,0,,13,,0,,13,,100,,99,,96,,98,,4,,15,,0,,13,,0,,13,,269,,252,,122,,155,,61,,77,,86,,102,,0,,13,,13,,20,,0,,13,,13,,20,,0,,13,,0,,13,,103,,49,,93,,45,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,10,,15,,10,,15,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594506021,"Block Group 1, Census Tract 4506.02, Fairfax County, Virginia",51,59,450602,1
1708,,421,,340,,209,,98,,95,,231,,188,,211,,199,,20,,27,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,11,,18,,11,,18,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1317,,290,,391,,134,,718,,231,,300,,169,,50,,49,,326,,115,,42,,34,,53,,48,,42,,45,,11,,16,,0,,13,,0,,13,,134,,123,,69,,65,,33,,37,,32,,51,,0,,13,,21,,33,,21,,33,,0,,13,,0,,13,,0,,13,,51,,32,,51,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594506022,"Block Group 2, Census Tract 4506.02, Fairfax County, Virginia",51,59,450602,2
2756,,289,,396,,85,,228,,68,,60,,48,,47,,46,,6,,8,,0,,13,,7,,9,,20,,20,,20,,20,,0,,13,,0,,13,,0,,13,,60,,38,,60,,38,,0,,13,,0,,13,,0,,13,,28,,42,,28,,42,,0,,13,,0,,13,,0,,13,,1889,,261,,936,,156,,428,,191,,184,,105,,52,,35,,159,,118,,33,,29,,94,,45,,90,,44,,4,,6,,0,,13,,0,,13,,412,,118,,253,,68,,113,,64,,33,,19,,13,,17,,19,,29,,19,,29,,0,,13,,0,,13,,0,,13,,471,,116,,291,,100,,43,,32,,10,,12,,20,,22,,13,,15,,0,,13,,27,,21,,0,,13,,20,,18,,7,,11,,0,,13,,93,,71,,4,,7,,38,,35,,48,,52,,3,,5,,17,,14,,17,,14,,0,,13,,0,,13,,0,,13,,510594507011,"Block Group 1, Census Tract 4507.01, Fairfax County, Virginia",51,59,450701,1
3256,,960,,860,,554,,103,,83,,750,,552,,87,,79,,154,,151,,485,,494,,24,,40,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,7,,10,,7,,10,,0,,13,,0,,13,,0,,13,,2137,,651,,460,,177,,1463,,618,,274,,182,,107,,102,,572,,409,,510,,433,,61,,61,,32,,37,,29,,43,,0,,13,,0,,13,,47,,46,,34,,37,,6,,13,,7,,12,,0,,13,,106,,100,,58,,78,,48,,64,,0,,13,,0,,13,,259,,81,,181,,88,,23,,30,,18,,29,,5,,10,,0,,13,,0,,13,,10,,15,,10,,15,,0,,13,,0,,13,,0,,13,,45,,53,,19,,36,,0,,13,,26,,37,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594507021,"Block Group 1, Census Tract 4507.02, Fairfax County, Virginia",51,59,450702,1
1161,,385,,157,,95,,95,,65,,56,,77,,56,,77,,0,,13,,0,,13,,0,,13,,6,,11,,6,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,846,,315,,393,,212,,352,,261,,107,,83,,115,,98,,130,,117,,0,,13,,11,,21,,11,,21,,0,,13,,0,,13,,0,,13,,59,,58,,21,,28,,30,,30,,8,,13,,0,,13,,31,,47,,31,,47,,0,,13,,0,,13,,0,,13,,158,,95,,78,,56,,50,,77,,50,,77,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,25,,0,,13,,8,,13,,8,,12,,0,,13,,14,,22,,14,,22,,0,,13,,0,,13,,0,,13,,510594508001,"Block Group 1, Census Tract 4508, Fairfax County, Virginia",51,59,450800,1
1206,,373,,207,,113,,184,,110,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,7,,13,,7,,13,,0,,13,,0,,13,,0,,13,,16,,27,,16,,27,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,846,,336,,394,,114,,172,,177,,147,,170,,25,,42,,0,,13,,0,,13,,199,,248,,114,,121,,85,,131,,0,,13,,0,,13,,73,,80,,9,,15,,16,,21,,37,,46,,11,,18,,8,,17,,8,,17,,0,,13,,0,,13,,0,,13,,153,,65,,141,,62,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,12,,14,,9,,13,,3,,5,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594508002,"Block Group 2, Census Tract 4508, Fairfax County, Virginia",51,59,450800,2
774,,119,,98,,40,,55,,27,,14,,21,,14,,21,,0,,13,,0,,13,,0,,13,,6,,10,,6,,10,,0,,13,,0,,13,,0,,13,,23,,30,,23,,30,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,551,,114,,339,,115,,41,,37,,23,,34,,8,,10,,10,,13,,0,,13,,16,,16,,16,,16,,0,,13,,0,,13,,0,,13,,155,,109,,110,,84,,6,,9,,39,,38,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,125,,41,,61,,29,,46,,48,,4,,6,,42,,48,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,18,,19,,0,,13,,10,,12,,5,,7,,3,,6,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594509001,"Block Group 1, Census Tract 4509, Fairfax County, Virginia",51,59,450900,1
